n,n_vac,n_ctl,events_vac,events_ctl,HR,CI_lo,CI_hi,p,stratum,fu_label,fu_yr
1108,241,867,7,31,0.7799458126590407,0.3461400819796894,1.7574256850151955,0.5487663661958729,All ages,1 yr,0.999315537303217
1108,241,867,7,39,0.6179893292857371,0.2761510561716964,1.3829779121814507,0.24158288567709674,All ages,2 yr,1.998631074606434
1108,241,867,10,48,0.7204482153378647,0.37290071926103646,1.3919137297779627,0.32915435709348306,All ages,4 yr,4.0
1108,241,867,13,57,0.7951320996891915,0.4413552389976637,1.4324856716144907,0.4452914885163224,All ages,Full follow-up,
686,154,532,2,12,0.5729135060450037,0.12727304700302508,2.5789426209068202,0.46802389075540074,<40 years,1 yr,0.999315537303217
686,154,532,2,16,0.42899005094218795,0.09773020046691089,1.8830664720644876,0.2621294366480566,<40 years,2 yr,1.998631074606434
686,154,532,3,22,0.4776046837778925,0.1484588620639967,1.5364945601445477,0.21514994236712284,<40 years,4 yr,4.0
686,154,532,5,26,0.6896975980879194,0.2689719993628754,1.7685215484697803,0.4393726270393733,<40 years,Full follow-up,
326,65,261,1,16,0.24839856405591565,0.03208245334595401,1.9232271908788476,0.18230782045533048,40–49 years,1 yr,0.999315537303217
326,65,261,1,18,0.219926549044497,0.02861929485443028,1.6900376903288448,0.14550151811595516,40–49 years,2 yr,1.998631074606434
326,65,261,3,21,0.54463701723195,0.178642190521133,1.6604671028383118,0.28535564376229916,40–49 years,4 yr,4.0
326,65,261,3,26,0.4493753892886971,0.14538119034296695,1.3890259119627377,0.164756500697904,40–49 years,Full follow-up,
96,22,74,4,3,4.1095111483625395,0.9468983757911998,17.835157721550452,0.0591457609110177,≥50 years,1 yr,0.999315537303217
96,22,74,4,5,2.604998234683373,0.6983027102633126,9.717871208239549,0.15405393334781667,≥50 years,2 yr,1.998631074606434
96,22,74,4,5,2.6049982346833724,0.6983027102633134,9.717871208239535,0.15405393334781625,≥50 years,4 yr,4.0
96,22,74,5,5,3.2282744177132603,0.9285067597239541,11.224210924603593,0.0652861003624983,≥50 years,Full follow-up,
