Covariate,Mean (vaccinated),Mean (non-vaccinated),Coefficient (β),Standardized β,Odds ratio
age_at_index,33.50945054887639,46.29954378798394,-0.0781,-1.1427,0.925
bmi,22.713194818822043,23.179357080524536,-0.0218,-0.0867,0.978
bmi_miss,0.5949427480916031,0.850790668545483,0.0464,0.0174,1.047
sbp,115.9482738355262,118.71763892223488,-0.0066,-0.0481,0.993
sbp_miss,0.5343511450381679,0.8364255519023015,-0.7555,-0.2943,0.47
dbp,72.21583521172055,73.7100720902914,-0.0005,-0.0031,1.0
dbp_miss,0.5343511450381679,0.8365821199311101,-0.7906,-0.3078,0.454
is_seoul,0.3439885496183206,0.2882808830436825,0.0288,0.0131,1.029
smoke_Never,0.3172709923664122,0.19942852669484892,0.6398,0.2599,1.896
smoke_Former,0.004770992366412214,0.0032096445905746046,0.4427,0.0255,1.557
smoke_Current,0.016698473282442748,0.006928135274776891,0.513,0.0448,1.67
