Cohort,Outcome,Group,Initial n,0 yr,1 yr,2 yr,3 yr,4 yr,5 yr,6 yr,7 yr,8 yr
A,Any-of-5,Vaccinated,2027,2027,1721,1514,1324,1138,961,835,730,635
A,Any-of-5,Non-vaccinated,2035,2035,1898,1763,1643,1498,1347,1202,1042,914
A,MCE (MI/Stroke/PE),Vaccinated,2051,2051,1742,1533,1342,1151,974,850,746,653
A,MCE (MI/Stroke/PE),Non-vaccinated,2051,2051,1916,1781,1661,1518,1362,1215,1056,928
A,Angina/MI,Vaccinated,2051,2051,1742,1533,1342,1151,974,850,746,653
A,Angina/MI,Non-vaccinated,2051,2051,1917,1782,1661,1518,1362,1215,1056,928
A,Hypertension,Vaccinated,2041,2041,1733,1524,1335,1145,968,843,740,647
A,Hypertension,Non-vaccinated,2045,2045,1911,1775,1654,1510,1358,1212,1053,925
A,Diabetes,Vaccinated,2037,2037,1730,1523,1331,1144,967,842,737,642
A,Diabetes,Non-vaccinated,2041,2041,1905,1771,1649,1505,1353,1207,1047,919
A,Stroke,Vaccinated,2051,2051,1742,1533,1342,1151,974,850,747,654
A,Stroke,Non-vaccinated,2051,2051,1917,1782,1661,1518,1363,1216,1057,929
A,PE,Vaccinated,2051,2051,1742,1533,1342,1151,974,850,747,654
A,PE,Non-vaccinated,2051,2051,1916,1781,1661,1518,1363,1216,1057,929
B,Lesion recurrence,Vaccinated,241,241,228,209,181,149,106,89,74,60
B,Lesion recurrence,Non-vaccinated,867,867,805,730,657,547,406,338,282,233
B,Post-index hr-HPV detection (sensitivity),Vaccinated,241,241,138,114,97,78,56,47,40,32
B,Post-index hr-HPV detection (sensitivity),Non-vaccinated,867,867,455,384,326,260,192,158,136,116
B,hr-HPV clearance (pre-vaccine HPV+),Vaccinated,110,110,72,54,43,34,19,14,10,7
B,hr-HPV clearance (pre-vaccine HPV+),Non-vaccinated,182,182,126,99,91,70,53,37,28,19
