block,variable,vaccinated,non_vaccinated,p_value,abs_SMD
CohortA_pre,N,2156,30813,-,-
CohortA_pre,Birth year,1982.32 ± 10.10,1968.93 ± 13.91,<0.001,1.102
CohortA_pre,Mortality (ever),6 (0.3%),370 (1.2%),<0.001,0.108
CohortA_pre,협심증/심근경색 (lifetime),3 (0.1%),36 (0.1%),0.740,0.006
CohortA_pre,고혈압 (lifetime),18 (0.8%),267 (0.9%),1.000,0.003
CohortA_pre,당뇨 (lifetime),36 (1.7%),410 (1.3%),0.178,0.028
CohortA_pre,뇌출혈/뇌경색 (lifetime),0 (0.0%),25 (0.1%),0.407,0.040
CohortA_pre,폐색전증 (lifetime),0 (0.0%),9 (0.0%),1.000,0.024
CohortA_pre,"Composite (any of 1-5, lifetime)",54 (2.5%),646 (2.1%),0.216,0.027
CohortA_post,N,2155,8620,-,-
CohortA_post,"Age at index, years",33.48 ± 9.15,34.16 ± 9.22,0.002,0.074
CohortA_post,Birth year,1982.31 ± 10.08,1981.64 ± 10.07,0.006,0.067
CohortA_post,Index year,2015.74 ± 4.11,2015.74 ± 4.11,1.000,0.000
CohortA_post,"Follow-up, days",2135.18 ± 1733.48,2319.85 ± 1567.30,<0.001,0.112
CohortA_post,Mortality during follow-up,6 (0.3%),35 (0.4%),0.556,0.022
CohortA_post,협심증/심근경색 (baseline),0 (0.0%),4 (0.0%),0.590,0.030
CohortA_post,고혈압 (baseline),10 (0.5%),19 (0.2%),0.062,0.042
CohortA_post,당뇨 (baseline),14 (0.6%),33 (0.4%),0.100,0.037
CohortA_post,뇌출혈/뇌경색 (baseline),0 (0.0%),1 (0.0%),1.000,0.015
CohortA_post,폐색전증 (baseline),0 (0.0%),0 (0.0%),1.000,-
CohortA_post,"Composite (any of 1-5, baseline)",24 (1.1%),53 (0.6%),0.021,0.054
CohortB_pre,N,566,6324,-,-
CohortB_pre,"Age at surgery, years",36.81 ± 9.41,48.67 ± 12.91,<0.001,1.049
CohortB_pre,Birth year,1979.96 ± 10.11,1968.29 ± 13.07,<0.001,0.998
CohortB_pre,Surgery year,2016.72 ± 4.22,2016.89 ± 3.87,0.330,0.044
CohortB_pre,Mortality (ever),1 (0.2%),80 (1.3%),0.013,0.129
CohortB_pre,협심증/심근경색 (pre-surgery),0 (0.0%),9 (0.1%),1.000,0.053
CohortB_pre,고혈압 (pre-surgery),5 (0.9%),109 (1.7%),0.167,0.074
CohortB_pre,당뇨 (pre-surgery),3 (0.5%),135 (2.1%),0.005,0.140
CohortB_pre,뇌출혈/뇌경색 (pre-surgery),0 (0.0%),9 (0.1%),1.000,0.053
CohortB_pre,폐색전증 (pre-surgery),0 (0.0%),2 (0.0%),1.000,0.025
CohortB_pre,Composite (any of 1-5),8 (1.4%),222 (3.5%),0.005,0.136
CohortB_pre,Surgery type,,,,
CohortB_pre,  원추절제술,545 (96.3%),4965 (78.5%),<0.001,0.556
CohortB_pre,  자궁절제술,21 (3.7%),1359 (21.5%),<0.001,0.556
CohortB_post,N,241,867,-,-
CohortB_post,"Age at index, years",37.26 ± 9.45,37.17 ± 8.53,0.899,0.010
CohortB_post,Birth year,1979.56 ± 10.22,1979.57 ± 9.43,0.995,0.000
CohortB_post,Index year,2016.76 ± 3.82,2016.69 ± 3.74,0.798,0.019
CohortB_post,"BMI, kg/m²",22.34 ± 3.56,22.28 ± 3.75,0.845,0.016
CohortB_post,"Follow-up, days",2233.95 ± 1404.53,2236.13 ± 1351.73,0.983,0.002
CohortB_post,Mortality during follow-up,0 (0.0%),4 (0.5%),0.582,0.096
CohortB_post,협심증/심근경색 (baseline),0 (0.0%),0 (0.0%),1.000,-
CohortB_post,고혈압 (baseline),4 (1.7%),6 (0.7%),0.238,0.090
CohortB_post,당뇨 (baseline),3 (1.2%),11 (1.3%),1.000,0.002
CohortB_post,뇌출혈/뇌경색 (baseline),0 (0.0%),0 (0.0%),1.000,-
CohortB_post,폐색전증 (baseline),0 (0.0%),0 (0.0%),1.000,-
CohortB_post,"Composite (any of 1-5, baseline)",7 (2.9%),15 (1.7%),0.293,0.078
CohortB_post,Surgery type,,,,
CohortB_post,  원추절제술,240 (99.6%),861 (99.3%),1.000,0.037
CohortB_post,  자궁절제술,1 (0.4%),6 (0.7%),1.000,0.037
