Outcome,"Vaccinated, n (events)","Non-vaccinated, n (events)",PY (vac / non),IR per 1000 PY (vac / non),HR (95% CI),p
Lesion recurrence (≥CIN2/HSIL+ or invasive carcinoma),203 (10),709 (33),1132 / 3947,8.8 / 8.4,1.01 (0.49–2.06),0.985
hr-HPV clearance (two consecutive post-index negatives),92 (31),143 (28),324 / 617,95.7 / 45.4,1.85 (1.09–3.17),0.024
,,,,,,
Sustained clearance — KM analysis of reversion-free time among patients with clearance event,,,,,,
  Vaccinated — KM median sustained clearance (years)†,31 clearance / 13 reversion / 18 censored,,,,10.79 (Q25–Q75 2.31–NR yr); 5-yr reversion-free P = 0.569,
  Non-vaccinated — KM median sustained clearance (years)†,,28 clearance / 13 reversion / 15 censored,,,5.67 (Q25–Q75 1.91–NR yr); 5-yr reversion-free P = 0.533,
"  Log-rank (vac vs non-vac, reversion-free)",,,,,χ²=1.00,0.317
,,,,,,
Sensitivity (lesion recurrence): exposure-definition,,,,,,
"  ≥1 dose, no landmark",241 (13),867 (57),1405 / 5052,9.2 / 11.3,0.80 (0.44–1.43),0.445
"  ≥3 dose, no landmark",167 (7),601 (40),935 / 3206,7.5 / 12.5,0.58 (0.27–1.25),0.168
