variable,vac_pre,ctl_pre,smd_pre,vac_post,ctl_post,smd_post
"Age at index, years",33.46 ± 9.18,46.30 ± 14.57,1.055,33.69 ± 9.14,33.15 ± 11.32,0.053
"BMI, kg/m²",22.74 ± 2.29,23.18 ± 4.08,0.135,22.78 ± 2.26,22.77 ± 2.35,0.006
"Systolic BP, mmHg",115.95 ± 9.37,118.71 ± 7.08,0.332,116.13 ± 9.30,115.79 ± 9.59,0.036
"Diastolic BP, mmHg",72.27 ± 7.74,73.69 ± 6.40,0.200,72.39 ± 7.69,72.08 ± 7.12,0.041
Logit(PS),-1.70 ± 1.16,-3.26 ± 1.24,1.294,-1.75 ± 1.13,-1.75 ± 1.13,0.002
Residence in Seoul,34.3%,28.8%,0.117,34.4%,34.3%,0.001
BMI missing,60.0%,85.1%,0.586,61.1%,62.8%,0.034
SBP missing,53.9%,83.6%,0.678,55.1%,57.5%,0.049
DBP missing,53.9%,83.7%,0.678,55.1%,57.5%,0.049
Smoking: Never,31.3%,19.9%,0.263,30.2%,28.5%,0.039
Smoking: Former,0.5%,0.3%,0.023,0.5%,0.5%,0.000
Smoking: Current,1.7%,0.7%,0.094,1.5%,1.4%,0.008
Smoking: Unknown,66.5%,79.0%,0.284,67.8%,69.7%,0.040
