period,class,comorbidity,vac_n,vac_total,vac_pct,ctl_n,ctl_total,ctl_pct,OR,p_value,significant
A_baseline,1,Angina/MI (협심증/심근경색),0,2155,0.0,4,8620,0.046,0.0,0.59031,False
A_baseline,2,Hypertension (고혈압),10,2155,0.464,19,8620,0.22,2.11,0.06171,False
A_baseline,3,Diabetes (당뇨),14,2155,0.65,33,8620,0.383,1.702,0.10015,False
A_baseline,4,Stroke (뇌출혈/뇌경색),0,2155,0.0,1,8620,0.012,0.0,1.0,False
A_baseline,5,PE (폐색전증),0,2155,0.0,0,8620,0.0,,1.0,False
B_new_onset,1,Angina/MI (협심증/심근경색),3,2155,0.139,4,8616,0.046,3.001,0.1481,False
B_new_onset,2,Hypertension (고혈압),8,2145,0.373,28,8601,0.326,1.146,0.67937,False
B_new_onset,3,Diabetes (당뇨),22,2141,1.028,65,8587,0.757,1.361,0.22481,False
B_new_onset,4,Stroke (뇌출혈/뇌경색),0,2155,0.0,3,8619,0.035,0.0,1.0,False
B_new_onset,5,PE (폐색전증),0,2155,0.0,3,8620,0.035,0.0,1.0,False
