period,class,comorbidity,vaccinated_n,vaccinated_total,vaccinated_pct,control_n,control_total,control_pct,OR,p_value,significant
Baseline (pre-index),1,Angina/MI (협심증/심근경색),0,241,0.0,0,867,0.0,,1.0,False
Baseline (pre-index),2,Hypertension (고혈압),4,241,1.66,6,867,0.69,2.422,0.2378,False
Baseline (pre-index),3,Diabetes (당뇨),3,241,1.24,11,867,1.27,0.981,1.0,False
Baseline (pre-index),4,Stroke (뇌출혈/뇌경색),0,241,0.0,0,867,0.0,,1.0,False
Baseline (pre-index),5,PE (폐색전증),0,241,0.0,0,867,0.0,,1.0,False
Any-time prevalence,1,Angina/MI (협심증/심근경색),0,241,0.0,0,867,0.0,,1.0,False
Any-time prevalence,2,Hypertension (고혈압),4,241,1.66,8,867,0.92,1.812,0.3049,False
Any-time prevalence,3,Diabetes (당뇨),4,241,1.66,20,867,2.31,0.715,0.8021,False
Any-time prevalence,4,Stroke (뇌출혈/뇌경색),0,241,0.0,0,867,0.0,,1.0,False
Any-time prevalence,5,PE (폐색전증),0,241,0.0,0,867,0.0,,1.0,False
