outcome,age_group,landmark,max_fu,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
Recurrence,All,0,All,948,61,244,13,704,48,0.7852556490525562,0.4254537070508329,1.4493384924138812,0.43943881361565273
Recurrence,All,0,2,948,39,244,7,704,32,0.6251599049756781,0.27593508390359067,1.416365404718704,0.26026085710336966
Recurrence,All,0,3,948,44,244,10,704,34,0.8418039937592356,0.4159019039211903,1.7038488096060245,0.6321545601279172
Recurrence,All,0,4,948,50,244,10,704,40,0.7178139684715448,0.35896796198918873,1.435384067362497,0.34838148619881637
Recurrence,All,0,5,948,55,244,12,704,43,0.8033850680801943,0.4236542478567468,1.523477153550131,0.5025177459052548
Recurrence,All,90,All,929,45,240,10,689,35,0.8297919649392126,0.41088708959106435,1.6757759552945892,0.6028534792075073
Recurrence,All,90,2,929,23,240,4,689,19,0.5976128909903383,0.20330299536226515,1.7566940754681994,0.349371733758144
Recurrence,All,90,3,929,28,240,7,689,21,0.9495734135251256,0.4036639848068722,2.23376298508563,0.9056282314852517
Recurrence,All,90,4,929,34,240,7,689,27,0.7426292197556296,0.32339109830470975,1.7053597360160344,0.48296603414509
Recurrence,All,90,5,929,39,240,9,689,30,0.8627756330702782,0.4096132752151212,1.8172794634863432,0.6977577574401617
Recurrence,All,180,All,920,39,238,8,682,31,0.7508873554759155,0.3451327846336693,1.6336663618093423,0.47004963856912074
Recurrence,All,180,2,920,17,238,2,682,15,0.377070409912107,0.08622728180358283,1.648922371867886,0.1951023932417819
Recurrence,All,180,3,920,22,238,5,682,17,0.836231973746958,0.30850604273615007,2.2666781749711005,0.7251823465940207
Recurrence,All,180,4,920,28,238,5,682,23,0.6224784399446088,0.23664215302481054,1.6374065365913444,0.3367133235574118
Recurrence,All,180,5,920,33,238,7,682,26,0.7746142977508762,0.3362093994607593,1.7846833290278525,0.5486772244946378
Recurrence,All,270,All,908,35,235,7,673,28,0.7285622474856852,0.31821845138038507,1.6680457910559467,0.45365768107633364
Recurrence,All,270,2,908,13,235,1,673,12,0.23460728032931233,0.030504469240399377,1.804344653557261,0.16363231092772867
Recurrence,All,270,3,908,18,235,4,673,14,0.8106443543753167,0.26682389821348707,2.4628388749301227,0.7111842573106744
Recurrence,All,270,4,908,24,235,4,673,20,0.5724540195955601,0.1956570282067208,1.6748879790041569,0.3084834816757669
Recurrence,All,270,5,908,29,235,6,673,23,0.7508093398293728,0.3057040229122453,1.8439883760929023,0.5318549579368081
Recurrence,All,365,All,885,30,231,6,654,24,0.7315215475492737,0.2989915979656133,1.789761913612129,0.4934321667996634
Recurrence,All,365,2,885,8,231,0,654,8,8.455815599987057e-44,0.0,inf,1.0
Recurrence,All,365,3,885,13,231,3,654,10,0.8503086063238249,0.23400189288538945,3.0898242619878795,0.8054307622912493
Recurrence,All,365,4,885,19,231,3,654,16,0.5375397956897922,0.15661939935089764,1.8449121446497707,0.3238326485793569
Recurrence,All,365,5,885,24,231,5,654,19,0.7592413651089807,0.28347542494723654,2.0335006133242164,0.5837147633757799
Recurrence,<40,0,All,592,27,156,5,436,22,0.6523061763950334,0.2469766143164389,1.7228487358642468,0.38857373645489823
Recurrence,<40,0,2,592,16,156,2,436,14,0.3961467429575779,0.09003138037482508,1.743083814804858,0.22059812026986692
Recurrence,<40,0,3,592,18,156,3,436,15,0.5576611364889842,0.16143602316077044,1.9263726711136933,0.3558149862067702
Recurrence,<40,0,4,592,22,156,3,436,19,0.4459345289666546,0.131950111755974,1.5070665835620933,0.19366001410628053
Recurrence,<40,0,5,592,23,156,4,436,19,0.5954929251227933,0.20256708980281676,1.7505895168681525,0.3460877172520579
Recurrence,<40,90,All,582,19,154,4,428,15,0.7746567863572285,0.25703282250317455,2.33469457637807,0.6500918966037865
Recurrence,<40,90,2,582,8,154,1,428,7,0.39365979667128653,0.04843164380397974,3.1997269418004883,0.383178512514877
Recurrence,<40,90,3,582,10,154,2,428,8,0.6966261874422106,0.14791784404701028,3.2807944718017845,0.6474906725843163
Recurrence,<40,90,4,582,14,154,2,428,12,0.4739688295160712,0.10606189852480927,2.1180693017699173,0.3283450214394813
Recurrence,<40,90,5,582,15,154,3,428,12,0.7123261498025713,0.20098040720720128,2.524666711265247,0.5992686557277057
Recurrence,<40,180,All,578,18,154,4,424,14,0.8320894003777507,0.27381266993968856,2.5286367149245152,0.7458334403833121
Recurrence,<40,180,2,578,7,154,1,424,6,0.4587129307313149,0.05522286041036735,3.8103341850906554,0.47059080958905686
Recurrence,<40,180,3,578,9,154,2,424,7,0.7963880532808709,0.16542170602542514,3.834042984123343,0.7764593800917914
Recurrence,<40,180,4,578,13,154,2,424,11,0.5179892270507626,0.11479276422470913,2.3373671777379514,0.3922009609540932
Recurrence,<40,180,5,578,14,154,3,424,11,0.778495723716114,0.21714575833140237,2.7910081988308026,0.7007005632255009
Recurrence,<40,270,All,571,17,152,4,419,13,0.8990490186160426,0.29305818901888564,2.7581182446411026,0.8523895045753048
Recurrence,<40,270,2,571,6,152,1,419,5,0.5502601749039007,0.06428403903986243,4.710131233314603,0.5855372959770961
