age_min,age_max,landmark,max_fu_days,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
28,52,0,All,759,52,189,8,570,44,0.5461251173900883,0.25709965929523,1.1600662741518897,0.11555154971236697
28,52,0,365,759,24,189,3,570,21,0.4250038333912391,0.12676727164089047,1.4248808549649663,0.16565077503216408
28,52,0,400,759,24,189,3,570,21,0.4250038333912391,0.12676727164089047,1.4248808549649665,0.16565077503216408
28,52,0,450,759,24,189,3,570,21,0.4250038333912391,0.12676727164089047,1.4248808549649665,0.16565077503216408
28,52,0,500,759,25,189,3,570,22,0.40532453784840716,0.12131418719199506,1.354235516757973,0.14229414506250426
28,52,0,550,759,25,189,3,570,22,0.4053245378484072,0.12131418719199506,1.354235516757973,0.14229414506250426
28,52,0,600,759,27,189,3,570,24,0.37078343539744,0.11164882233911363,1.2313641387775252,0.10520221473351635
28,52,0,650,759,30,189,3,570,27,0.32826634895015866,0.09958300015031885,1.0821003152185336,0.06719770861870929
28,52,0,700,759,31,189,3,570,28,0.31612616249089204,0.09610465759131706,1.0398637601539822,0.05800567917616909
28,52,0,730,759,31,189,3,570,28,0.31612616249089204,0.09610465759131706,1.0398637601539822,0.05800567917616909
28,52,0,750,759,31,189,3,570,28,0.3161261624908921,0.09610465759131706,1.0398637601539826,0.058005679176169174
28,52,0,800,759,31,189,3,570,28,0.3161261624908921,0.09610465759131702,1.0398637601539829,0.058005679176169236
28,52,0,850,759,32,189,4,570,28,0.42126551774818083,0.1477586223529417,1.2010442004510862,0.10581641583505673
28,52,0,900,759,34,189,4,570,30,0.39297556098775444,0.13844043306061649,1.1154963049416557,0.07931652244801762
28,52,0,730,759,31,189,3,570,28,0.31612616249089204,0.09610465759131706,1.0398637601539822,0.05800567917616909
28,52,0,760,759,31,189,3,570,28,0.3161261624908921,0.09610465759131706,1.0398637601539826,0.058005679176169174
28,52,0,790,759,31,189,3,570,28,0.3161261624908921,0.09610465759131702,1.0398637601539829,0.058005679176169236
28,52,0,820,759,32,189,4,570,28,0.4212655177481808,0.14775862235294168,1.201044200451086,0.1058164158350567
28,52,0,1095,759,36,189,6,570,30,0.5904393496278679,0.24574803023897446,1.418601912088451,0.2387450826791866
28,52,0,1460,759,42,189,6,570,36,0.49481403083187003,0.20848689962446224,1.1743707904386482,0.11059950131713306
28,52,0,1825,759,46,189,7,570,39,0.5353471929771195,0.23944596110343278,1.196915645216003,0.12797686980481315
28,52,30,All,751,44,188,7,563,37,0.5680089628759272,0.2532091566001682,1.2741805479682724,0.17000820858365384
28,52,30,365,751,16,188,2,563,14,0.4224559451114046,0.09601078791345335,1.858843463724585,0.2543365363163832
28,52,30,400,751,16,188,2,563,14,0.42245594511140466,0.09601078791345335,1.8588434637245852,0.2543365363163832
28,52,30,450,751,16,188,2,563,14,0.42245594511140444,0.09601078791345327,1.8588434637245845,0.254336536316383
28,52,30,500,751,17,188,2,563,15,0.3939178865135589,0.09008048351112287,1.722585129065709,0.21587501228724848
28,52,30,550,751,17,188,2,563,15,0.39391788651355897,0.09008048351112287,1.7225851290657095,0.2158750122872486
28,52,30,600,751,19,188,2,563,17,0.3467852506496484,0.08011882207845977,1.50102069586557,0.15657155048771867
28,52,30,650,751,22,188,2,563,20,0.29341881449681784,0.06858081416411409,1.2553744330694785,0.09826351388463066
28,52,30,700,751,23,188,2,563,21,0.27903687454348286,0.06542496143528892,1.1900897707369287,0.08455765873095884
28,52,30,730,751,23,188,2,563,21,0.27903687454348286,0.06542496143528892,1.1900897707369287,0.08455765873095884
28,52,30,750,751,23,188,2,563,21,0.27903687454348286,0.06542496143528892,1.1900897707369287,0.08455765873095884
28,52,30,800,751,23,188,2,563,21,0.2790368745434828,0.06542496143528892,1.1900897707369285,0.08455765873095873
28,52,30,850,751,24,188,3,563,21,0.4183652021454579,0.12478594352548468,1.4026374880153392,0.15800567999748372
28,52,30,900,751,26,188,3,563,23,0.38192845430850425,0.11467166706534279,1.2720609017340196,0.11688351911228467
28,52,30,730,751,23,188,2,563,21,0.27903687454348286,0.06542496143528892,1.1900897707369287,0.08455765873095884
28,52,30,760,751,23,188,2,563,21,0.27903687454348286,0.06542496143528892,1.1900897707369287,0.08455765873095884
28,52,30,790,751,23,188,2,563,21,0.2790368745434828,0.06542496143528892,1.1900897707369285,0.08455765873095873
28,52,30,820,751,24,188,3,563,21,0.4183652021454579,0.12478594352548474,1.4026374880153394,0.15800567999748372
28,52,30,1095,751,28,188,5,563,23,0.6381920861272461,0.24261709995647993,1.6787322034123107,0.36273723648524336
28,52,30,1460,751,34,188,5,563,29,0.5101838803987514,0.19748019172602108,1.3180440506146751,0.16460759362218802
28,52,30,1825,751,38,188,6,563,32,0.5581304578858459,0.23336025035139954,1.334887186445786,0.18993744872508345
28,52,60,All,747,40,188,7,559,33,0.6372059915188815,0.28185879231523137,1.4405492633114476,0.27885776482561553
28,52,60,365,747,12,188,2,559,10,0.5894947335024989,0.1291603066125834,2.690486341670907,0.495064379379592
28,52,60,400,747,12,188,2,559,10,0.5894947335024988,0.1291603066125834,2.6904863416709066,0.4950643793795917
28,52,60,450,747,12,188,2,559,10,0.5894947335024989,0.1291603066125834,2.690486341670907,0.495064379379592
28,52,60,500,747,13,188,2,559,11,0.5353764205038856,0.1186648641564071,2.4154404395033158,0.4163478960679743
28,52,60,550,747,13,188,2,559,11,0.5353764205038858,0.11866486415640716,2.4154404395033167,0.41634789606797473
28,52,60,600,747,15,188,2,559,13,0.45191216988206917,0.10197783510662316,2.002637230668729,0.295700574452608
28,52,60,650,747,18,188,2,559,16,0.36534486065319954,0.08400097458714653,1.5889918880313783,0.17942122172572472
28,52,60,700,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,730,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,750,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,800,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,850,747,20,188,3,559,17,0.5147967735477936,0.15086060560343414,1.756692656742096,0.2890164029646022
28,52,60,900,747,22,188,3,559,19,0.46068923383367044,0.1363245530722133,1.556833053087878,0.2122143548109301
28,52,60,730,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,760,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,790,747,19,188,2,559,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,60,820,747,20,188,3,559,17,0.5147967735477935,0.15086060560343414,1.7566926567420955,0.28901640296460196
28,52,60,1095,747,24,188,5,559,19,0.7703545482484873,0.2876320233734503,2.0632130005796445,0.603711191094628
28,52,60,1460,747,30,188,5,559,25,0.5910904649782307,0.2262695567488396,1.544122606719044,0.28317710297471355
28,52,60,1825,747,34,188,6,559,28,0.6376230561178129,0.2639995744693796,1.5400144583951798,0.31719205230172565
28,52,90,All,745,40,188,7,557,33,0.6372059915188814,0.2818587923152313,1.4405492633114474,0.2788577648256154
28,52,90,365,745,12,188,2,557,10,0.5894947335024989,0.1291603066125834,2.690486341670907,0.495064379379592
28,52,90,400,745,12,188,2,557,10,0.5894947335024989,0.1291603066125834,2.690486341670907,0.495064379379592
28,52,90,450,745,12,188,2,557,10,0.5894947335024989,0.1291603066125834,2.690486341670907,0.495064379379592
28,52,90,500,745,13,188,2,557,11,0.5353764205038857,0.1186648641564071,2.415440439503316,0.4163478960679746
28,52,90,550,745,13,188,2,557,11,0.5353764205038858,0.11866486415640716,2.4154404395033167,0.41634789606797473
28,52,90,600,745,15,188,2,557,13,0.4519121698820691,0.10197783510662316,2.002637230668729,0.295700574452608
28,52,90,650,745,18,188,2,557,16,0.36534486065319954,0.08400097458714653,1.5889918880313783,0.17942122172572472
28,52,90,700,745,19,188,2,557,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,90,730,745,19,188,2,557,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,90,750,745,19,188,2,557,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,90,800,745,19,188,2,557,17,0.3433165558518831,0.0793167806091875,1.4860191830371183,0.15267784141259785
28,52,90,850,745,20,188,3,557,17,0.5147967735477936,0.15086060560343414,1.7566926567420964,0.2890164029646022
